statistic,player,team,value,year
Central,Cleveland Indians,78,84,2006
Central,Kansas City Royals,62,100,2006
West,Team | Roster],Wins,Losses,2006
West,Oakland Athletics,93,69,2006
West,Los Angeles Angels,89,73,2006
West,Texas Rangers,80,82,2006
West,Seattle Mariners,78,84,2006
A.L.,Team | Roster,Wins,Losses,2006
2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006
2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007
Statistic,Name,Team,#,2007
Base on Balls,David Ortiz,Boston,111,2007
Batting Average,Magglio Ordonez,Detroit,.363,2007
Doubles,Magglio Ordonez,Detroit,54,2007
Hits,Ichiro Suzuki,Seattle,238,2007
Home Runs,Alex Rodriguez,New York,54,2007
On Base Percentage,David Ortiz,Boston,.445,2007
RBI,Alex Rodriguez,New York,156,2007
Runs,Alex Rodriguez,New York,143,2007
Slugging Average,Alex Rodriguez,New York,.645,2007
Stolen Bases,Carl Crawford,Tampa Bay,50,2007
Stolen Bases,Brian Roberts,Baltimore,50,2007
Total Bases,Alex Rodriguez,New York,376,2007
Triples,Curtis Granderson,Detroit,23,2007
Statistic,Name,Team,#,2007
2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007
2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007
Statistic,Name,Team,#,2007
Complete Games,Roy Halladay,Toronto,7,2007
ERA,John Lackey,Los Angeles,3.01,2007
Games,Jamie Walker,Baltimore,81,2007
Saves,Joe Borowski,Cleveland,45,2007
Shutouts,Paul Byrd,Cleveland,2,2007
Shutouts,Jose Contreras,Chicago,2,2007
Shutouts,John Lackey,Cleveland,2,2007
Shutouts,Jeff Weaver,Seattle,2,2007
Strikeouts,Scott Kazmir,Tampa Bay,239,2007
Winning Percentage,Justin Verlander,Detroit,.762,2007
Wins,Josh Beckett,Boston,20,2007
Statistic,Name,Team,#,2007
2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007
2007 American League Standings 2007 All-Star Game | 2007 A.L. Team Standings | 2007 World Series,2007 American League Standings 2007 All-Star Game | 2007 A.L. Team Standings | 2007 World Series,2007 American League Standings 2007 All-Star Game | 2007 A.L. Team Standings | 2007 World Series,2007 American League Standings 2007 All-Star Game | 2007 A.L. Team Standings | 2007 World Series,2007
East,Team | Roster,Wins,Losses,2007
East,Boston Red Sox,96,66,2007
East,New York Yankees,94,68,2007
East,Toronto Blue Jays,83,79,2007
East,Baltimore Orioles,69,93,2007
East,Tampa Bay Devil Rays,66,96,2007
Central,Team | Roster,Wins,Losses,2007
Central,Cleveland Indians,96,66,2007
Central,Detroit Tigers,88,74,2007
Central,Minnesota Twins,79,83,2007
Central,Chicago White Sox,72,90,2007
Central,Kansas City Royals,69,93,2007
West,Team | Roster,Wins,Losses,2007
West,Los Angeles Angels,94,68,2007
West,Seattle Mariners,88,74,2007
West,Oakland Athletics,76,86,2007
West,Texas Rangers,75,87,2007
A.L.,Team | Roster,Wins,Losses,2007
2007 American League Final Standings,2007 American League Final Standings,2007 American League Final Standings,2007 American League Final Standings,2007
2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008
Statistic,Name,Team,#,2008
Base on Balls,Jack Cust,Oakland,111,2008
Batting Average,Joe Mauer,Minnesota,.330,2008
Doubles,Dustin Pedroia,Boston,54,2008
Hits,Dustin Pedroia,Boston,213,2008
Hits,Ichiro Suzuki,Seattle,213,2008
Home Runs,Miguel Cabrera,Detroit,37,2008
On Base Percentage,Milton Bradley,Texas,.436,2008
RBI,Josh Hamilton,Texas,130,2008
Runs,Dustin Pedroia,Boston,118,2008
Slugging Average,Alex Rodriguez,New York,.573,2008
Stolen Bases,Jacoby Ellsbury,Boston,50,2008
Total Bases,Josh Hamilton,Texas,331,2008
Triples,Curtis Granderson,Detroit,13,2008
Statistic,Name,Team,#,2008
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008
2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008
Statistic,Name,Team,#,2008
Complete Games,Roy Halladay,Toronto,9,2008
ERA,Cliff Lee,Cleveland,2.54,2008
Games,Matt Guerrier,Minnesota,76,2008
Games,Francisco Rodriguez,Los Angeles,76,2008
Saves,Francisco Rodriguez,Los Angeles,62,2008
Shutouts,Matt Garza,Tampa Bay,2,2008
Shutouts,Roy Halladay,Toronto,2,2008
Shutouts,Cliff Lee,Cleveland,2,2008
Shutouts,Jon Lester,Boston,2,2008
Shutouts,Jesse Litsch,Toronto,2,2008
Shutouts,CC Sabathia,Cleveland,2,2008
Shutouts,James Shields,Tampa Bay,2,2008
Shutouts,Kevin Slowey,Minnesota,2,2008
Strikeouts,A.J. Burnett,Toronto,231,2008
Winning Percentage,Cliff Lee,Cleveland,.880,2008
Wins,Cliff Lee,Cleveland,22,2008
Statistic,Name,Team,#,2008
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008
2008 American League Standings 2008 All-Star Game | 2008 A.L. Team Standings | 2008 World Series,2008 American League Standings 2008 All-Star Game | 2008 A.L. Team Standings | 2008 World Series,2008 American League Standings 2008 All-Star Game | 2008 A.L. Team Standings | 2008 World Series,2008 American League Standings 2008 All-Star Game | 2008 A.L. Team Standings | 2008 World Series,2008
East,Team | Roster,Wins,Losses,2008
East,Tampa Bay Rays,97,65,2008
East,Boston Red Sox,95,67,2008
East,New York Yankees,89,73,2008
East,Toronto Blue Jays,86,76,2008
East,Baltimore Orioles,68,93,2008
Central,Team | Roster,Wins,Losses,2008
Central,Chicago White Sox,89,74,2008
Central,Minnesota Twins,88,75,2008
Central,Cleveland Indians,81,81,2008
Central,Kansas City Royals,75,87,2008
Central,Detroit Tigers,74,88,2008
West,Team | Roster,Wins,Losses,2008
West,Los Angeles Angels,100,62,2008
West,Texas Rangers,79,83,2008
West,Oakland Athletics,75,86,2008
West,Seattle Mariners,61,101,2008
A.L.,Team | Roster,Wins,Losses,2008
2008 National League Final Standings,2008 National League Final Standings,2008 National League Final Standings,2008 National League Final Standings,2008
2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009
Statistic,Name,Team,#,2009
Base on Balls,Chone Figgins,Los Angeles,101,2009
Batting Average,Joe Mauer,Minnesota,.365,2009
Doubles,Brian Roberts,Baltimore,56,2009
Hits,Ichiro Suzuki,Seattle,225,2009
Home Runs,Carlos Pena,Tampa Bay,39,2009
Home Runs,Mark Teixeira,New York,39,2009
On Base Percentage,Joe Mauer,Minnesota,.444,2009
RBI,Mark Teixeira,New York,122,2009
Runs,DustinPedroia,Boston,115,2009
Slugging Average,Joe Mauer,Minnesota,.587,2009
Stolen Bases,Jacoby Ellsbury,Boston,70,2009
Total Bases,Mark Teixeira,New York,344,2009
Triples,Jacoby Ellsbury,Boston,10,2009
Triples,Denard Span,Minnesota,10,2009
Statistic,Name,Team,#,2009
2009 American League Pitcher Review ← 2008 | 2009 Pitching Statistics League Leaders | 2010 →,2009 American League Pitcher Review ← 2008 | 2009 Pitching Statistics League Leaders | 2010 →,2009 American League Pitcher Review ← 2008 | 2009 Pitching Statistics League Leaders | 2010 →,2009 American League Pitcher Review ← 2008 | 2009 Pitching Statistics League Leaders | 2010 →,2009
Statistic,Name,Team,#,2009
Complete Games,Roy Halladay,Toronto,9,2009
ERA,Zack Greinke,Kansas City,2.16,2009
Games,Matt Guerrier,Minnesota,79,2009
Saves,Brian Fuentes,Los Angeles,48,2009
Shutouts,Roy Halladay,Toronto,4,2009
Strikeouts,Justin Verlander,Detroit,269,2009
Winning Percentage,Felix Hernandez,Seattle,.792,2009
Wins,Felix Hernandez,Seattle,19,2009
Wins,C.C. Sabathia,New York,19,2009
Wins,Justin Verlander,Detroit,19,2009
Statistic,Name,Team,#,2009
2009 American League Team Standings,2009 American League Team Standings,2009 American League Team Standings,2009 American League Team Standings,2009
East,Team | Roster,Wins,Losses,2009
East,New York Yankees,103,59,2009
East,Boston Red Sox,95,67,2009
East,Tampa Bay Rays,84,78,2009
East,Toronto Blue Jays,75,87,2009
East,Baltimore Orioles,64,98,2009
Central,Team | Roster,Wins,Losses,2009
Central,Minnesota Twins,87,76,2009
Central,Detroit Tigers,86,77,2009
Central,Chicago White Sox,79,83,2009
Central,Cleveland Indians,65,97,2009
Central,Kansas City Royals,65,97,2009
West,Team | Roster,Wins,Losses,2009
West,Los Angeles Angels,97,65,2009
West,Texas Rangers,87,75,2009
West,Seattle Mariners,85,77,2009
West,Oakland Athletics,75,87,2009
2009 American League Final Standings,2009 American League Final Standings,2009 American League Final Standings,2009 American League Final Standings,2009
"Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List Average Salary: $3,240,206.81 Minimum Salary: $390,000.00","Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List Average Salary: $3,240,206.81 Minimum Salary: $390,000.00","Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List Average Salary: $3,240,206.81 Minimum Salary: $390,000.00","Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List Average Salary: $3,240,206.81 Minimum Salary: $390,000.00",2009
2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010
Statistic,Name,Team,#,2010
Base on Balls,Daric Barton,Oakland,110,2010
Batting Average,Josh Hamilton,Texas,.359,2010
Doubles,Adrian Beltre,Boston,49,2010
Hits,Ichiro Suzuki,Seattle,214,2010
Home Runs,Jose Bautista,Toronto,54,2010
On Base Percentage,Miguel Cabrera,Detroit,.420,2010
RBI,Miguel Cabrera,Detroit,126,2010
Runs,Mark Teixeira,New York,113,2010
Slugging Average,Josh Hamilton,Texas,.633,2010
Stolen Bases,Juan Pierre,Chicago,68,2010
Total Bases,Jose Bautista,Toronto,351,2010
Triples,Carl Crawford,Tampa Bay,13,2010
Statistic,Name,Team,#,2010
2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010
2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010
Statistic,Name,Team,#,2010
Complete Games,Cliff Lee,Seattle / Texas,7,2010
Complete Games,Carl Pavano,Minnesota,7,2010
ERA,Felix Hernandez,Seattle,2.27,2010
Games,Randy Choate,Tampa Bay,85,2010
Saves,Rafael Soriano,Tampa Bay,45,2010
Shutouts,Dallas Braden,Oakland,2,2010
Shutouts,Carl Pavano,Minnesota,2,2010
Strikeouts,Jered Weaver,Los Angeles,233,2010
Winning Percentage,Tommy Hunter,Texas,.765,2010
Wins,C.C. Sabathia,New York,21,2010
Statistic,Name,Team,#,2010
2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010
2010 American League Standings 2010 All-Star Game | 2010 A.L. Team Standings | 2010 World Series,2010 American League Standings 2010 All-Star Game | 2010 A.L. Team Standings | 2010 World Series,2010 American League Standings 2010 All-Star Game | 2010 A.L. Team Standings | 2010 World Series,2010 American League Standings 2010 All-Star Game | 2010 A.L. Team Standings | 2010 World Series,2010
East,Team | Roster,Wins,Losses,2010
East,Tampa Bay Rays,96,66,2010
East,New York Yankees,95,67,2010
East,Boston Red Sox,89,73,2010
East,Toronto Blue Jays,85,77,2010
East,Baltimore Orioles,66,96,2010
Central,Team | Roster,Wins,Losses,2010
Central,Minnesota Twins,94,68,2010
Central,Chicago White Sox,88,74,2010
Central,Detroit Tigers,81,81,2010
Central,Cleveland Indians,69,93,2010
Central,Kansas City Royals,67,95,2010
West,Team | Roster,Wins,Losses,2010
West,Texas Rangers,90,72,2010
West,Oakland Athletics,81,81,2010
West,Los Angeles Angels,80,82,2010
West,Seattle Mariners,61,101,2010
A.L.,Team | Roster,Wins,Losses,2010
2010 American League Final Standings,2010 American League Final Standings,2010 American League Final Standings,2010 American League Final Standings,2010
2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011
Statistic,Name,Team,#,2011
Base on Balls,Jose Bautista,Toronto,132,2011
Batting Average,Miguel Cabrera,Detroit,.344,2011
Doubles,Miguel Cabrera,Detroit,48,2011
Hits,Adrian Gonzalez,Boston,213,2011
Hits,Michael Young,Texas,213,2011
Home Runs,Jose Bautista,Toronto,43,2011
On Base Percentage,Miguel Cabrera,Detroit,.448,2011
RBI,Curtis Granderson,New York,119,2011
Runs,Curtis Granderson,New York,136,2011
Slugging Average,Jose Bautista,Toronto,.608,2011
Stolen Bases,Coco Crisp,Oakland,49,2011
Stolen Bases,Brett Gardner,New York,49,2011
Total Bases,Jacoby Ellsbury,Boston,364,2011
Triples,Peter Bourjos,Los Angeles,11,2011
Triples,Austin Jackson,Detroit,11,2011
Statistic,Name,Team,#,2011
2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011
2011 American League Pitcher Review ← 2010 | 2011 Pitching Statistics League Leaders | 2012 →,2011 American League Pitcher Review ← 2010 | 2011 Pitching Statistics League Leaders | 2012 →,2011 American League Pitcher Review ← 2010 | 2011 Pitching Statistics League Leaders | 2012 →,2011 American League Pitcher Review ← 2010 | 2011 Pitching Statistics League Leaders | 2012 →,2011
Statistic,Name,Team,#,2011
Complete Games,James Shields,Tampa Bay,11,2011
ERA,Justin Verlander,Detroit,2.40,2011
Games,Jose Valverde,Detroit,75,2011
Saves,Jose Valverde,Detroit,49,2011
Shutouts,Derek Holland,Texas,4,2011
Shutouts,James Shields,Tampa Bay,4,2011
Strikeouts,Justin Verlander,Detroit,250,2011
Winning Percentage,Justin Verlander,Detroit,.828,2011
Wins,Justin Verlander,Detroit,24,2011
Statistic,Name,Team,#,2011
2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011
2011 American League Standings 2011 All-Star Game | 2011 Team Standings | 2011 World Series,2011 American League Standings 2011 All-Star Game | 2011 Team Standings | 2011 World Series,2011 American League Standings 2011 All-Star Game | 2011 Team Standings | 2011 World Series,2011 American League Standings 2011 All-Star Game | 2011 Team Standings | 2011 World Series,2011
East,Team | Roster,Wins,Losses,2011
East,New York Yankees,97,65,2011
East,Tampa Bay Rays,91,71,2011
East,Boston Red Sox,90,72,2011
East,Toronto Blue Jays,81,81,2011
East,Baltimore Orioles,69,93,2011
Central,Team | Roster,Wins,Losses,2011
Central,Detroit Tigers,95,67,2011
Central,Cleveland Indians,80,82,2011
Central,Chicago White Sox,79,83,2011
Central,Kansas City Royals,71,91,2011
Central,Minnesota Twins,63,99,2011
West,Team | Roster,Wins,Losses,2011
West,Texas Rangers,96,66,2011
West,Los Angeles Angels,86,76,2011
West,Oakland Athletics,74,88,2011
West,Seattle Mariners,67,95,2011
A.L.,Team | Roster,Wins,Losses,2011
2011 American League Final Standings,2011 American League Final Standings,2011 American League Final Standings,2011 American League Final Standings,2011
2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012
Statistic,Name,Team,#,2012
Base on Balls,Adam Dunn,Chicago,105,2012
Batting Average,Miguel Cabrera,Detroit,.330,2012
Doubles,Alex Gordon,Kansas City,51,2012
Hits,Derek Jeter,New York,216,2012
Home Runs,Miguel Cabrera,Detroit,44,2012
On Base Percentage,Joe Mauer,Minnesota,.416,2012
RBI,Miguel Cabrera,Detroit,139,2012
Runs,Mike Trout,Los Angeles,129,2012
Slugging Average,Miguel Cabrera,Detroit,.606,2012
Stolen Bases,Mike Trout,Los Angeles,49,2012
Total Bases,Miguel Cabrera,Detroit,377,2012
Triples,Austin Jackson,Detroit,10,2012
Statistic,Name,Team,#,2012
2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012
2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012
Statistic,Name,Team,#,2012
Complete Games,Justin Verlander,Detroit,6,2012
ERA,David Price,Tampa Bay,2.56,2012
Games,Boone Logan,New York,80,2012
Saves,Jim Johnson,Baltimore,51,2012
Shutouts,Felix Hernandez,Seattle,5,2012
Strikeouts,Justin Verlander,Detroit,239,2012
Winning Percentage,David Price,Tampa Bay,.800,2012
Winning Percentage,Jered Weaver,Los Angeles,.800,2012
Wins,David Price,Tampa Bay,20,2012
Wins,Jered Weaver,Los Angeles,20,2012
Statistic,Name,Team,#,2012
2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012
2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012
East,Team | Roster,Wins,Losses,2012
East,New York Yankees,95,67,2012
East,Baltimore Orioles,93,69,2012
East,Tampa Bay Rays,90,72,2012
East,Toronto Blue Jays,73,89,2012
East,Boston Red Sox,69,93,2012
Central,Team | Roster,Wins,Losses,2012
Central,Detroit Tigers,88,74,2012
Central,Chicago White Sox,85,77,2012
Central,Kansas City Royals,72,90,2012
Central,Cleveland Indians,68,94,2012
Central,Minnesota Twins,66,96,2012
West,Team | Roster,Wins,Losses,2012
West,Oakland Athletics,94,68,2012
West,Texas Rangers,93,69,2012
West,Los Angeles Angels,89,73,2012
West,Seattle Mariners,75,87,2012
A.L.,Team | Roster,Wins,Losses,2012
2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012
2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013
Statistic,Name,Team,#,2013
Base on Balls,Mike Trout,Los Angeles,110,2013
Batting Average,Miguel Cabrera,Detroit,.348,2013
Doubles,Manny Machado,Baltimore,51,2013
Hits,Adrian Beltre,Texas,199,2013
Home Runs,Chris Davis,Baltimore,53,2013
On Base Percentage,Miguel Cabrera,Detroit,.442,2013
RBI,Chris Davis,Baltimore,138,2013
Runs,Mike Trout,Los Angeles,109,2013
Slugging Average,Miguel Cabrera,Detroit,.636,2013
Stolen Bases,Jacoby Ellsbury,Boston,52,2013
Total Bases,Chris Davis,Baltimore,370,2013
Triples,Brett Gardner,New York,10,2013
Statistic,Name,Team,#,2013
2013 American League Pitcher Review ← 2012 | 2013 Pitching Statistics League Leaders | 2014 →,2013 American League Pitcher Review ← 2012 | 2013 Pitching Statistics League Leaders | 2014 →,2013 American League Pitcher Review ← 2012 | 2013 Pitching Statistics League Leaders | 2014 →,2013 American League Pitcher Review ← 2012 | 2013 Pitching Statistics League Leaders | 2014 →,2013
Statistic,Name,Team,#,2013
Complete Games,David Price,Tampa Bay,4,2013
Complete Games,Chris Sale,Chicago,4,2013
ERA,Anibal Sanchez,Detroit,2.57,2013
Games,Joel Peralta,Tampa Bay,80,2013
Saves,Jim Johnson,Baltimore,50,2013
Shutouts,Bartolo Colon,Oakland,3,2013
Shutouts,Justin Masterson,Cleveland,3,2013
Strikeouts,Yu Darvish,Texas,277,2013
Winning Percentage,Max Scherzer,Detroit,.875,2013
Wins,Max Scherzer,Detroit,21,2013
Statistic,Name,Team,#,2013
2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013
East,Team [Click for roster],Wins,Losses,2013
East,Boston Red Sox,97,65,2013
East,Tampa Bay Rays,92,71,2013
East,Baltimore Orioles,85,77,2013
East,New York Yankees,85,77,2013
East,Toronto Blue Jays,74,88,2013
Central,Team [Click for roster],Wins,Losses,2013
Central,Detroit Tigers,93,69,2013
Central,Cleveland Indians,92,70,2013
Central,Kansas City Royals,86,76,2013
Central,Minnesota Twins,66,96,2013
Central,Chicago White Sox,63,99,2013
West,Team [Click for roster],Wins,Losses,2013
West,Oakland Athletics,96,66,2013
West,Texas Rangers,91,72,2013
West,Los Angeles Angels,78,84,2013
West,Seattle Mariners,71,91,2013
West,Houston Astros,51,111,2013
2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,2013
2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014
Statistic,Name,Team,#,2014
Base on Balls,Carlos Santana,Cleveland,113,2014
Batting Average,Jose Altuve,Houston,.341,2014
Doubles,Miguel Cabrera,Detroit,52,2014
Hits,Jose Altuve,Houston,225,2014
Home Runs,Nelson Cruz,Baltimore,40,2014
On Base Percentage,Victor Martinez,Detroit,.409,2014
RBI,Mike Trout,Los Angeles,111,2014
Runs,Mike Trout,Los Angeles,115,2014
Slugging Average,Jose Abreu,Chicago,.581,2014
Stolen Bases,Jose Altuve,Chicago,56,2014
Total Bases,Mike Trout,Los Angeles,338,2014
Triples,Michael Bourn,Cleveland,10,2014
Triples,Adam Eaton,Chicago,10,2014
Statistic,Name,Team,#,2014
2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014
2014 American League Pitcher Review ← 2013 | 2014 Pitching Statistics League Leaders | 2015 →,2014 American League Pitcher Review ← 2013 | 2014 Pitching Statistics League Leaders | 2015 →,2014 American League Pitcher Review ← 2013 | 2014 Pitching Statistics League Leaders | 2015 →,2014 American League Pitcher Review ← 2013 | 2014 Pitching Statistics League Leaders | 2015 →,2014
Statistic,Name,Team,#,2014
Complete Games,Dallas Keuchel,Houston,5,2014
ERA,Felix Hernandez,Seattle,2.14,2014
Games,Bryan Shaw,Cleveland,80,2014
Saves,Fernando Rodney,Seattle,48,2014
Shutouts,Rick Porcello,Detroit,3,2014
Strikeouts,David Price,Tampa Bay / Detroit,271,2014
Winning Percentage,Max Scherzer,Detroit,.783,2014
Wins,Corey Kluber,Texas,18,2014
Wins,Max Scherzer,Detroit,18,2014
Wins,Jered Weaver,Los Angeles,18,2014
Statistic,Name,Team,#,2014
